molecular,name,window,restfreq(GHz),E_up(K),E_low(K),g_u,log(Aij),Aij,Linelist
aGg'-(CH2OH)2,ethylene glycol,spw25,218.2389880,266.173,255.699,400,-3.9914,0.000102,"1"
aGg'-(CH2OH)2,ethylene glycol,spw35,232.9874000,156.323,145.141,400,-3.57349,0.000266999,"1"
CH2(OH)CHO,glycolaldehyde,spw25,218.2605472,126.144,115.169,41,-3.89325,0.000127865,CDMS
CH2(OH)CHO,glycolaldehyde,spw27,217.8306936,40.187,29.733,19,-3.7977,0.000159331,CDMS
CH3OCHO,methyl Formate,spw29,218.2978900,99.722,89.245,70,-3.82148,0.000150841,CDMS
CH3OCHO,methyl Formate,spw29,218.2808300,99.721,89.245,35,-3.821,0.000151008,CDMS
CH3CHO,acetaldehyde,spw41,231.3698292,128.511,117.407,50,-3.44161,0.000361735,
CH3CHO,acetaldehyde,spw41,231.3632836,128.542,117.438,50,-3.44168,0.000361676,
CH3CHO,acetaldehyde,spw41,231.3572900,299.051,287.948,50,-3.38585,0.000411292,JPL
C2H5CN,propanenitrile,spw33,220.6609161,143.022,132.429,51,-3.04508,0.000901405,CDMS
C2H5CN,propanenitrile,spw35,232.9623200,261.057,250.777,53,-3.04008,0.000911843,CDMS
C2H5CN,propanenitrile,spw35,232.9675700,240.095,229.714,53,-3.02596,0.000941976,CDMS
