x,y,model,amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,AIC(1G),AIC(2G),amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
406,376,2g,6.748943554888825,6.067619353490028,1.2703855110828495,2.9915292092081156,1.8852492134372592,11.377689045971806,9.769072271091497,0.3425565333656778,0.8066589759001654,3.178242513098838,104.19264424777919,73.14356974892834,,,,,
391,382,1g,,,,,,,,,,,81.1910985364894,77.17559728659823,6.7535295848177,7.730143473856844,0.7051988303585901,1.6606163097050153,1.8865302745760721
397,384,2g,9.40310409521032,5.914965093360339,2.524714952016547,5.9452492633076055,2.626662151667076,9.348761919410032,6.7746248709811026,0.19414222338886888,0.45716999048057627,2.611482213747792,81.21045920633904,70.12110615022338,,,,,
385,386,2g,11.891863067914873,7.438236224293801,0.8283951879218203,1.950721556422061,3.3218718326440966,12.099475020416003,8.89396005469805,0.40189904373365115,0.9463999061648765,3.379866134562566,72.19834400831364,61.8401022850067,,,,,
370,387,1g,,,,,,,,,,,45.0540531199374,51.587394711308775,9.254674289596794,8.830320072945378,1.0231503004568743,2.4093347905218567,2.585199784704347
391,389,2g,13.09662284039812,6.332713190547263,0.19311066777872626,0.45474086269870023,3.658409306247594,15.581964108141005,7.979878660094096,0.7597925342716829,1.7891746555536445,4.352664285864566,101.15006535800251,72.54292731535865,,,,,
377,391,2g,8.045198481008462,8.750950988963332,3.0215265800909337,7.115151221329733,2.247344934049857,15.963868571833153,8.924801167365143,0.6165530689295655,1.4518714977767195,4.459345440319066,64.58799264544788,49.15013846500496,,,,,
397,391,2g,23.53989925690061,6.119170483246009,0.7484185442604047,1.7623909563952862,6.5756330894658435,9.654358241347964,7.886600161819054,0.14056845722180802,0.331013414435058,2.6968474595640015,557.0178302510514,72.6251512908561,,,,,
368,393,2g,11.233381497451585,8.672650970828363,0.12900556020108897,0.30378487327272835,3.1379316570177065,12.318375715461194,9.765095363851437,0.9494648191982761,2.2358187455444845,3.441013832687241,88.11136651330203,76.71900947431365,,,,,
386,393,2g,13.096052234666976,6.395234191458817,0.35332247487426355,0.8320108302834134,3.6582499133000796,36.19189341349771,8.269072926020527,0.8932212742525821,2.1033753210354655,10.109839863926027,81.38416423904077,44.00148231720907,,,,,
403,393,2g,15.00567148150343,6.834506342288309,0.26790294056380676,0.6308632024984635,4.1916827615353,9.25525748983862,8.045823175117768,0.08339106517253506,0.19637094808958902,2.5853626958012077,173.45282162300848,74.77911592113729,,,,,
390,398,2g,11.842255245682876,5.914965093360339,3.2954684559407843,7.760235029418478,3.3080143885741338,9.408673134144646,7.795427836813869,0.37277716865111726,0.877823132283024,2.628217806442546,109.80830440739994,89.96246230428127,,,,,
397,398,1g,,,,,,,,,,,71.68867584646286,64.92150224832044,11.482034903490346,6.877257225312287,0.8443422290652587,1.9882739678474526,3.2073904744371373
376,399,2g,5.446366378860963,8.105009517934404,3.9999999999999996,9.419279999999999,1.5213874361715423,19.7783006309213,9.710915653679148,0.5706841262446679,1.343858394163469,5.524868507836298,102.14937490529407,67.1082701480972,,,,,
383,399,1g,,,,,,,,,,,44.38809193145629,48.69642466260511,19.116879457323254,8.65629257728903,0.8270340939887586,1.9475164252066086,5.340107183766074
