molecule,component,x,y,model,n_points,method,Trot_K,T_ratio_p16,T_ratio_p50,T_ratio_p84,slope,intercept,R2,flag
acetaldehyde,1,387,375,2G,3,RD,85.97373577701772,,,,-0.011631459200442439,36.4001921137903,0.999448204681841,ok
acetaldehyde,2,387,375,2G,3,RD,127.118008061488,,,,-0.007866706025760662,34.65485748825909,0.9161268464795638,ok
acetaldehyde,1,394,375,2G,3,RD,336.1892616562258,,,,-0.0029745149951355718,34.207312287805536,0.9848421578012949,ok
acetaldehyde,2,394,375,2G,3,RD,75.33775101452935,,,,-0.013273557898046942,36.494654683088456,0.9387147838730112,ok
acetaldehyde,1,389,381,2G,2,ratio,0.16050842655774095,0.05883274119671414,0.10946763781968219,0.31873237603446036,,,,T_out
acetaldehyde,2,389,381,2G,3,RD,107.65401763562669,,,,-0.009289017000597878,36.67319789446483,0.9927445179360713,ok
acetaldehyde,1,396,381,2G,3,RD,676.4068218711828,,,,-0.0014784002284803145,35.10468943250805,0.4512409980191543,low_R2
acetaldehyde,2,396,381,2G,3,RD,,,,,0.004746301737671916,31.552957913223384,0.2665443699457878,T_out
acetaldehyde,1,403,382,2G,3,RD,102.26638307468568,,,,-0.00977838435206704,36.11907349460792,0.9978306297409676,ok
acetaldehyde,2,403,382,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,1,382,383,1G,3,RD,190.44410152157334,,,,-0.005250884600837695,36.03467732629081,0.8714458518981123,ok
acetaldehyde,1,387,387,1G,3,RD,194.46656756572506,,,,-0.005142272075440545,35.83843384204201,0.9990257245739084,ok
acetaldehyde,1,394,387,1G,3,RD,625.9423136019267,,,,-0.0015975913087670863,34.709483512148594,0.15057547131915106,low_R2
acetaldehyde,1,401,388,2G,3,RD,,,,,0.0016769024327975748,34.369504788284395,0.14639205298929148,T_out
acetaldehyde,2,401,388,2G,3,RD,52.003766676793425,,,,-0.01922937632989281,37.31444569881412,0.9808562163173017,ok
acetaldehyde,1,379,393,2G,2,ratio,609.1998674445201,286.63859962951153,504.4682049917315,1340.6478440822436,,,,ok
acetaldehyde,2,379,393,2G,2,ratio,334.4190630483417,213.01311524262468,326.21137791345075,650.8114417019834,,,,ok
acetaldehyde,1,396,393,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,2,396,393,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,1,405,393,2G,3,RD,145.33706804314295,,,,-0.0068805571315306326,35.761319669393146,0.9931555116969748,ok
acetaldehyde,2,405,393,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,1,387,394,2G,3,RD,,,,,0.01050642209312652,30.48143950030426,0.6005279967735421,T_out
acetaldehyde,2,387,394,2G,3,RD,239.93489766572702,,,,-0.004167797222199757,35.09266189436799,0.4343771401866928,low_R2
acetaldehyde,1,392,398,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,2,392,398,2G,3,RD,,,,,0.0015511519258591365,33.45595372485718,0.3218567147674801,T_out
acetaldehyde,1,400,398,2G,3,RD,307.5563539634452,,,,-0.0032514366460426164,35.75366654404293,0.8954696115507743,ok
acetaldehyde,2,400,398,2G,2,insufficient,,,,,,,,T_out
acetaldehyde,1,385,400,2G,3,RD,251.76835986624064,,,,-0.003971904970629667,34.404875763039875,0.40457689642489414,low_R2
acetaldehyde,2,385,400,2G,3,RD,60.55228929482464,,,,-0.016514652239341003,37.19283944125141,0.9811114475127698,ok
acetaldehyde,1,396,403,2G,3,RD,419.71106900604445,,,,-0.002382591439316075,35.048348495775286,0.5168559393657408,low_R2
acetaldehyde,2,396,403,2G,3,RD,187.21222580394328,,,,-0.005341531492965866,34.088240266107036,0.9193503639942475,ok
acetaldehyde,1,390,405,2G,3,RD,,,,,0.01026698978896901,31.091050758388658,0.16540007567517445,T_out
acetaldehyde,2,390,405,2G,3,RD,4458.019487167978,,,,-0.00022431485615493903,33.72767424416205,0.003117993378010109,T_out
acetaldehyde,1,401,407,1G,3,RD,39.59278191997687,,,,-0.025257128989348475,37.47650268927863,0.9958038913673026,ok
acetaldehyde,1,395,410,2G,3,RD,99.7783586102043,,,,-0.010022213373008227,35.23169497986484,0.9981591100080703,ok
acetaldehyde,2,395,410,2G,2,insufficient,,,,,,,,T_out
ethylene_glycol,1,398,366,1G,1,none,,,,,,,,n<2
ethylene_glycol,1,384,382,2G,1,none,,,,,,,,n<2
ethylene_glycol,2,384,382,2G,1,none,,,,,,,,n<2
